0,140.35,557
0.1,138.6,564
0.21,135.95,575
0.34,139.59,560
0.45,133.4,586
0.56,125.28,624
0.69,113.46,689
0.79,103.95,752
0.91,93.73,834
1.04,85.62,913
1.13,72.92,1072
1.25,67.92,1151
1.37,56.08,1394
1.49,48.71,1605
