1.00,16.23,4818,,,,,,,,,,
1.15,18.20,4295,,,,,,,,,,
1.31,17.11,4570,,,,,,,,,,
1.46,17.38,4499,,,,,,,,,,
1.62,16.44,4755,,,,,,,,,,
1.77,19.12,4089,,,,,,,,,,
1.95,16.85,4640,,,,,,,,,,
2.10,16.90,4626,,,,,,,,,,
2.24,17.06,4583,,,,,,,,,,
2.40,17.68,4422,,,,,,,,,,
2.56,17.13,4563,,,,,,,,,,
2.71,18.18,4299,,,,,,,,,,
2.87,17.06,4582,,,,,,,,,,
3.03,17.77,4400,,,,,,,,,,
3.20,17.45,4479,,,,,,,,,,
3.33,17.77,4398,,,,,,,,,,
3.51,16.26,4807,,,,,,,,,,
3.66,18.12,4315,,,,,,,,,,
3.81,17.61,4440,,,,,,,,,,
3.98,17.78,4397,,,,,,,,,,
4.13,16.71,4677,,,,,,,,,,
4.28,18.35,4259,,,,,,,,,,
4.44,16.99,4601,,,,,,,,,,
4.60,17.59,4444,,,,,,,,,,
4.75,17.09,4573,,,,,,,,,,
4.90,18.07,4325,,,,,,,,,,
5.06,17.07,4579,,,,,,,,,,
5.23,17.90,4366,,,,,,,,,,
5.37,16.97,4607,,,,,,,,,,
5.54,17.92,4363,,,,,,,,,,
5.69,17.16,4555,,,,,,,,,,
5.84,17.92,4363,,,,,,,,,,
6.00,16.87,4634,,,,,,,,,,
6.16,18.03,4335,,,,,,,,,,
6.31,17.34,4509,,,,,,,,,,
6.47,17.61,4440,,,,,,,,,,
6.63,16.78,4660,,,,,,,,,,
6.78,18.02,4339,,,,,,,,,,
6.94,17.09,4575,,,,,,,,,,
7.10,17.54,4457,,,,,,,,,,
7.26,16.74,4669,,,,,,,,,,
7.41,17.67,4424,,,,,,,,,,
7.58,17.11,4569,,,,,,,,,,
7.73,17.01,4596,,,,,,,,,,
8.05,17.85,4380,,,,,,,,,,
8.20,17.35,4505,,,,,,,,,,
8.36,16.69,4683,,,,,,,,,,
8.52,16.83,4644,,,,,,,,,,
8.67,18.29,4274,,,,,,,,,,
8.82,17.56,4453,,,,,,,,,,
8.99,17.12,4566,,,,,,,,,,
9.14,16.95,4612,,,,,,,,,,/
9.31,17.87,4374,,,,,,,,,,
9.46,16.87,4633,,,,,,,,,,
9.63,17.73,4410,,,,,,,,,,
9.78,16.96,4610,,,,,,,,,,
9.93,18.06,4329,,,,,,,,,,
10.11,17.31,4516,,,,,,,,,,
10.23,18.51,4223,,,,,,,,,,
10.39,18.27,4278,,,,,,,,,,
10.53,19.82,3945,,,,,,,,,,
10.68,20.18,3874,,,,,,,,,,
10.78,21.88,3573,,,,,,,,,,
10.91,21.41,3651,,,,,,,,,,
11.03,23.65,3305,,,,,,,,,,
11.16,23.22,3367,,,,,,,,,,
11.26,23.01,3397,,,,,,,,,,
11.39,23.94,3265,,,,,,,,,,
11.49,25.95,3012,,,,,,,,,,
11.59,24.19,3232,,,,,,,,,,
11.69,26.27,2976,,,,,,,,,,
11.80,26.79,2918,,,,,,,,,,
11.90,28.73,2721,,,,,,,,,,
12.00,27.86,2806,,,,,,,,,,
12.08,29.19,2678,,,,,,,,,,
12.18,28.33,2759,,,,,,,,,,
12.27,30.42,2570,,,,,,,,,,
12.37,30.03,2603,,,,,,,,,,
12.45,30.85,2534,,,,,,,,,,
12.55,30.22,2587,,,,,,,,,,
12.63,32.50,2405,,,,,,,,,,
12.73,30.18,2590,,,,,,,,,,
12.80,30.22,2587,,,,,,,,,,
12.90,30.78,2540,,,,,,,,,,
12.98,32.67,2393,,,,,,,,,,
13.08,28.69,2725,,,,,,,,,,
13.15,32.45,2409,,,,,,,,,,
13.23,31.17,2508,,,,,,,,,,
13.34,32.17,2430,,,,,,,,,,
