28.08,44.80,1745
28.18,42.12,1856
28.48,40.72,1920
28.58,40.99,1907
28.68,43.24,1808
28.68,38.17,2048
28.78,41.67,1876
28.88,41.10,1902
28.88,42.21,1852
28.98,39.18,1995
29.08,43.57,1794
29.08,40.38,1936
29.18,43.05,1816
29.28,40.46,1932
29.28,42.12,1856
29.38,40.42,1934
29.48,42.83,1825
29.48,39.20,1994
29.58,42.14,1855
29.68,41.01,1906
29.68,42.46,1841
29.78,39.18,1995
29.88,42.79,1827
29.88,40.21,1944
29.98,41.54,1882
30.08,39.48,1980
30.08,43.07,1815
30.18,39.68,1970
30.28,43.36,1803
30.28,40.95,1909
30.38,41.08,1903
30.48,38.43,2034
30.48,41.98,1862
30.58,39.86,1961
30.68,42.67,1832
30.68,45.00,1737
30.78,48.08,1626
30.78,45.24,1728
30.88,50.96,1534
30.88,48.86,1600
30.98,51.77,1510
31.08,49.86,1568
31.08,55.76,1402
31.18,52.96,1476
31.18,56.73,1378
31.28,56.00,1396
31.28,59.95,1304
31.38,56.94,1373
31.38,60.13,1300
31.48,56.61,1381
31.48,58.73,1331
31.48,57.35,1363
31.58,60.74,1287
31.58,57.23,1366
31.68,60.55,1291
31.68,58.78,1330
31.78,59.77,1308
31.78,57.23,1366
31.88,61.46,1272
31.88,56.77,1377
31.98,61.41,1273
31.98,58.03,1347
32.08,59.86,1306
32.08,58.34,1340
32.08,62.19,1257
32.18,57.56,1358
32.18,63.81,1225
32.28,61.51,1271
32.28,63.25,1236
32.38,57.65,1356
32.38,62.04,1260
32.48,58.47,1337
32.48,59.04,1324
32.58,58.16,1344
32.58,61.80,1265
32.58,58.16,1344
32.68,61.41,1273
32.68,58.60,1334
32.78,61.89,1263
32.78,58.34,1340
32.88,61.60,1269
32.88,57.02,1371
32.98,60.09,1301
32.98,59.00,1325
32.98,60.23,1298
33.08,56.40,1386
33.18,60.23,1298
33.18,58.69,1332
33.18,59.22,1320
33.28,57.23,1366
33.28,61.22,1277
33.38,59.18,1321
33.38,61.99,1261
33.48,57.95,1349
33.48,58.16,1344
33.58,63.87,1224
33.58,61.07,1280
33.68,58.43,1338
33.68,57.99,1348
33.68,61.94,1262
33.78,67.80,1153
33.78,51.63,1514
33.88,66.30,1179
33.88,58.21,1343
33.98,60.32,1296
33.98,57.02,1371
34.08,61.85,1264
34.08,57.48,1360
34.18,60.83,1285
34.18,56.77,1377
34.18,57.95,1349
34.28,59.67,1310
34.28,62.09,1259
34.38,56.12,1393
34.38,60.46,1293
34.48,58.87,1328
34.48,58.43,1338
34.58,56.24,1390
34.58,59.40,1316
34.68,56.85,1375
34.68,60.23,1298
34.78,57.78,1353
34.78,61.55,1270
34.78,56.65,1380
34.88,59.72,1309
34.88,56.98,1372
34.98,62.54,1250
34.98,57.48,1360
35.08,62.84,1244
35.08,57.91,1350
35.18,63.14,1238
35.18,59.90,1305
35.28,61.80,1265
35.28,59.58,1312
35.28,63.20,1237
35.38,59.58,1312
35.38,63.40,1233
