1.00,12.00,6515
1.11,12.01,6509
1.25,11.99,6520
1.35,12.06,6483
1.46,12.07,6479
1.58,12.00,6514
1.69,12.02,6505
1.81,12.04,6493
1.92,12.03,6498
2.05,11.98,6526
2.15,12.03,6498
2.27,12.07,6477
2.38,11.97,6529
2.51,11.99,6519
2.61,12.03,6496
2.73,12.05,6489
2.84,11.99,6521
2.95,12.01,6509
3.07,11.96,6536
3.19,11.96,6535
3.30,11.89,6575
3.41,11.96,6536
3.54,12.02,6503
3.66,12.05,6487
3.77,12.05,6487
3.87,11.98,6523
3.96,11.95,6542
4.16,12.03,6498
4.26,11.91,6563
4.36,12.06,6481
4.46,12.08,6473
4.56,12.01,6511
4.66,12.01,6508
4.76,12.04,6493
4.86,11.98,6526
5.06,12.07,6479
5.16,12.06,6484
5.26,12.00,6516
5.36,11.97,6530
5.46,11.97,6532
5.66,11.98,6525
5.76,11.94,6547
5.86,11.99,6522
5.96,11.99,6518
6.06,11.95,6541
6.16,11.93,6554
6.26,11.93,6551
6.46,11.95,6539
6.56,11.96,6538
6.66,11.93,6553
6.76,11.91,6565
6.86,11.90,6571
6.96,11.94,6547
7.06,11.95,6543
7.26,11.97,6531
7.36,11.97,6532
7.46,11.91,6562
7.56,11.93,6550
7.66,11.95,6544
7.76,11.95,6543
7.86,11.96,6535
7.96,12.32,6343
8.16,12.57,6217
8.26,12.86,6080
8.36,13.56,5765
8.46,14.29,5470
8.56,15.25,5125
8.76,16.81,4649
8.86,17.57,4450
8.96,18.37,4256
9.06,19.10,4092
9.16,20.00,3909
9.26,20.95,3732
9.36,21.60,3619
9.56,22.82,3425
9.66,23.77,3289
9.76,24.35,3211
9.86,25.46,3070
9.96,26.11,2994
10.06,27.28,2866
10.16,28.25,2767
10.36,28.79,2715
10.46,29.42,2657
10.56,29.80,2623
10.66,30.04,2602
10.76,30.52,2561
10.86,30.63,2552
11.06,30.28,2582
11.16,30.36,2575
11.26,30.45,2567
11.36,30.24,2585
11.46,30.50,2563
11.56,30.54,2560
11.76,30.43,2569
11.86,30.49,2564
11.96,30.75,2542
12.06,30.60,2555
12.16,30.90,2530
12.26,30.84,2535
12.36,30.67,2549
12.56,30.67,2549
12.66,30.64,2551
12.76,30.60,2555
12.86,30.51,2562
12.96,30.60,2555
13.06,30.43,2569
13.16,30.50,2563
13.26,30.57,2557
13.46,30.51,2562
13.56,30.54,2560
13.66,30.46,2566
13.76,30.61,2554
13.86,30.48,2565
13.96,30.61,2554
14.06,30.64,2551
14.26,30.61,2554
14.36,30.44,2568
14.46,30.48,2565
14.56,30.24,2585
14.66,30.21,2588
14.76,30.12,2595
14.96,30.00,2606
15.06,30.05,2601
15.16,30.15,2593
15.26,30.22,2587
15.36,30.39,2572
15.46,30.61,2554
15.66,30.70,2546
15.76,30.95,2526
15.86,30.96,2525
15.96,30.73,2544
16.06,30.91,2529
16.16,30.86,2533
16.36,30.79,2539
16.46,31.01,2521
16.56,30.97,2524
16.66,30.97,2524
16.76,31.10,2514
16.86,31.17,2508
16.96,31.06,2517
17.16,31.19,2506
17.26,31.26,2501
17.36,31.21,2505
17.46,31.38,2491
17.56,31.36,2493
17.66,31.26,2501
17.76,31.43,2487
17.96,31.36,2493
18.06,31.32,2496
18.16,31.36,2493
18.26,31.21,2505
18.36,31.02,2520
18.46,30.96,2525
18.56,30.87,2532
18.76,30.67,2549
18.86,30.64,2551
18.96,30.64,2551
19.06,30.55,2559
19.16,30.80,2538
19.26,30.85,2534
19.36,30.92,2528
19.56,31.08,2515
19.66,31.38,2491
19.76,31.42,2488
19.86,31.65,2470
19.96,31.71,2465
20.16,31.79,2459
20.26,31.80,2458
20.36,31.99,2444
20.46,31.95,2447
20.56,31.96,2446
20.66,31.82,2457
20.76,31.76,2461
20.96,31.71,2465
21.06,31.67,2468
21.16,31.52,2480
21.26,31.42,2488
21.36,31.27,2500
21.46,31.18,2507
21.56,31.08,2515
21.66,31.14,2510
21.86,30.97,2524
21.96,31.03,2519
22.06,31.06,2517
22.16,31.02,2520
22.26,31.00,2522
22.36,31.02,2520
22.56,31.10,2514
22.66,31.14,2510
22.76,31.21,2505
22.86,31.16,2509
22.96,31.28,2499
23.06,31.70,2466
23.16,32.45,2409
23.36,33.31,2347
23.46,34.21,2285
23.56,34.96,2236
23.66,36.34,2151
23.76,37.98,2058
23.86,39.48,1980
24.06,41.63,1878
24.16,42.90,1822
24.26,43.99,1777
24.36,45.11,1733
24.46,46.42,1684
24.56,47.72,1638
24.66,49.29,1586
24.86,50.47,1549
24.96,51.67,1513
25.06,53.03,1474
25.16,54.10,1445
25.26,55.09,1419
25.36,56.32,1388
25.46,57.27,1365
25.66,57.95,1349
25.76,58.64,1333
25.86,58.91,1327
25.96,59.00,1325
26.06,59.72,1309
26.16,59.77,1308
26.36,60.04,1302
26.46,60.18,1299
26.56,60.46,1293
26.66,60.69,1288
26.76,60.93,1283
26.86,61.02,1281
27.06,60.98,1282
27.16,61.12,1279
27.26,61.46,1272
27.36,61.55,1270
27.46,61.85,1264
27.56,61.60,1269
27.66,61.55,1270
27.86,61.70,1267
27.96,61.75,1266
28.06,61.65,1268
28.16,61.85,1264
28.26,61.80,1265
28.36,61.70,1267
28.56,61.75,1266
28.66,61.80,1265
28.76,61.80,1265
28.86,61.99,1261
28.96,61.89,1263
29.06,61.85,1264
29.16,61.89,1263
29.26,61.75,1266
29.46,61.99,1261
29.56,62.14,1258
29.66,61.99,1261
29.76,62.34,1254
29.86,62.49,1251
30.06,62.29,1255
30.16,62.24,1256
